xi,xj,LLM_model,prompt_id
The river rushed,"The river rushed by, the sun shone, and the birds sang.",Falcon-7B,539
As they laughed,"As they laughed, they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at",BLOOM,45
In the laboratory,"In the laboratory, we have developed a new method for the detection of the presence of the virus in the blood of patients with COVID-19.",Falcon-7B,182
The smoke drifted,"The smoke drifted away, and the wind was blowing in the opposite direction.",BLOOM,553
The door creaked,"The door creaked and shut behind him, and he was pulled into the kitchen, where he was taken to his mother, now in a coma, who was left with a small child.",GPT-2,403
With a chisel,"With a chisel, knife, cutting tool or other similar tool, cutting tool will be required to cut this piece.",GPT-2,626
The camera clicked,The camera clicked.,GPT-2,341
The kite dipped,The kite dipped into the water and the wind blew it away.,BLOOM,461
The kite dipped,"The kite dipped in the salt would still break down when it was released, making it more sensitive to water.",GPT-2,461
He looked down,"He looked down and said, ""Look at him!",GPT-2,117
He whispered to,"He whispered to me, “You’re not going to be able to get a job.",BLOOM,146
The dust settled,"The dust settled, and the new, more robust models were finally released.",GPT-2,409
The toys scattered,The toys scattered around have been cleared of snow and dirt.,GPT-Neo,584
With a frown,"With a frown, I looked at the clock.",Falcon-7B,635
The trail beckoned,The trail beckoned.,Falcon-7B,585
The snow melted,"The snow melted to sea-level by mid-July, leaving behind a dry winter that resulted in little if any rain and drought conditions that prompted wildfires across the West and California's Central Valley.",GPT-Neo,557
The data secured,The data secured by the blockchain is encrypted and cannot be accessed by anyone.,OPT,392
As they invented,"As they invented the concept of the “free market”, they were able to make a profit.",BLOOM,44
As they watched,"As they watched the video, the students were asked to identify the different types of bullying.",Falcon-7B,66
With a taste,"With a taste for spicy foods with this, and a fondness for sweet pastries, this is a quick picker from the ""Spicy"" series of popular restaurants that serve it.",GPT-2,658
With a smile,"With a smile on his face, the old man walked up to the three of them and offered them the pair of bookshelfs.",GPT-2,649
The clock chimed,"The clock chimed the fourth and twelfth octaves, the voice calling out the words: Behold, with the power you have gathered, you cannot resist or die; at the dawnbreak, the sound of men ceasing, we are at",GPT-2,370
"Quietly, she wrote","Quietly, she wrote her name on the back of the card.",Falcon-7B,230
In the kitchen,"In the kitchen, the rest of the team were discussing how a large piece of meat would do more than just eat as part of a dish, but to make themselves in more efficient ways.",GPT-2,181
She posed for,"She posed for the photographs from behind the wheel of her car after taking part in a drive to promote the upcoming National Day for Rural Communities in Córdoba, Argentina.",GPT-Neo,255
The train arrived,The train arrived at the station and the train driver was very polite and helpful.,BLOOM,586
He harvested the,He harvested the first of his 2013 crop of potatoes on Monday.,Falcon-7B,112
The flavors balanced,The flavors balanced out nicely.,Falcon-7B,428
With a sneeze,"With a sneeze, the man in the car pulled out his handgun and shot him in the face.",BLOOM,651
The actor emerged,"The actor emerged from a five-year retirement to take on the role of President-elect Donald Trump in a new television series on NBC, which is set to air in November.",GPT-Neo,304
In the cellar,"In the cellar of her husband's family home, the home of her childhood, there was an old walnut wardrobe full of dresses.",GPT-Neo,158
The fire crackled,"The fire crackled and popped in the fireplace, and the smell of burning wood filled the room.",Falcon-7B,418
The car stopped,The car stopped in front of the house.,Falcon-7B,355
The river meandered,"The river meandered through the forest, and the
forest was full of trees, and the trees were all of the same size and
kind.",BLOOM,538
The candle burned,"The candle burned for a long time, and the fire was still burning.",BLOOM,346
The dog barked,The dog barked at the door.,OPT,397
"Slowly, he walked","Slowly, he walked towards the door.",OPT,294
"Slowly, she breathed","Slowly, she breathed in the air and the wind was
soft and gentle.",BLOOM,295
The kite danced,"The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite danced in the wind,
The kite",Falcon-7B,460
In the kitchen,"In the kitchen, the most important thing is the stove.",Falcon-7B,181
The water rippled,The water rippled and the wind blew.,BLOOM,599
In the hallway,"In the hallway, the two men were talking about the future of the city.",BLOOM,180
The baby laughed,The baby laughed at me.,GPT-Neo,317
With a gasp,"With a gasp, the man shook his head and looked at the woman.",BLOOM,637
In the lake,"In the lake, you'll find something similar to the ones in the lake above though.",GPT-2,183
He whispered to,He whispered to me that he was going to kill me.,OPT,146
The puppy wagged,The puppy wagged his tail and barked.,Falcon-7B,525
The chalk dust,The chalk dust is a nice touch.,OPT,361
With a gallop,"With a gallop, the horse gallops.",OPT,636
Running through the,Running through the numbers?,GPT-2,231
In the study,"In the study of the effect of the presence of the drug on the activity of the enzyme, the effect of the drug on the activity of the enzyme was studied in the presence of the enzyme.",BLOOM,208
With a sigh,"With a sigh of relief, and a lot of the work done to get our city closer to the goals of all the important things, we decided to begin with what I believe is the best possible place to do this kind of work.",GPT-2,648
He climbed the,He climbed the ladder to the top of the tower and then he climbed the ladder to the top of the tower.,OPT,106
"Quietly, she moved","Quietly, she moved her head back and forth, and
looked at the little girl.",BLOOM,227
As they observed,"As they observed the two of them arguing, one of them put away the gun and the other drew the revolver they took from Lomax.",GPT-Neo,48
As they talked,"As they talked, the sun rose higher in the sky, and the heat of the day began to build.",Falcon-7B,60
As they analyzed,"As they analyzed the data in 2010 and 2011, Dr Alhassan said most people in India are not ""just bad consumers"" due to the high price of natural gas, a major contributor to the rising costs of electricity which drive up prices for",GPT-2,23
The candle burned,"The candle burned for 3 days, it then burned for 4 days.",GPT-2,346
"Quietly, she moved","Quietly, she moved to the back of the room, and began to read the book.",OPT,227
She stirred the,She stirred the pot.,GPT-2,273
The lunch crowd,The lunch crowd at New York’s Union Square was quiet.,GPT-Neo,480
"Carefully, he measured","Carefully, he measured the distance between the two points.",OPT,75
With a grunt,"With a grunt, I was able to get the file to work.",BLOOM,640
The rain fell,"The rain fell for over two seconds; there were no sound from the boat at all after that, but it was still clear, that the boat had come down somewhere safe, and that we would be able to put down the rest of our supplies and",GPT-2,531
He discovered the,"He discovered the ""secret"" of the universe.",Falcon-7B,110
The elevator dinged,The elevator dinged and the doors opened.,Falcon-7B,411
She practiced the,"She practiced the art of the ""sneak attack"" on her brother.",Falcon-7B,256
The pollen floated,The pollen floated on its back.,GPT-2,521
"Gently, she erased","Gently, she erased the last of the tears from her face.",Falcon-7B,93
As they walked,"As they walked out of the room, the two men looked at each other and smiled.",OPT,65
"Slowly, the sun","Slowly, the sun sank behind the ridge of mountains and the air cooled and, for a moment, was like velvet.",GPT-Neo,301
With a nod,"With a nod to the “Greatest Show on Earth,” the 2019-2020 season of the Ringling Bros.",Falcon-7B,644
In the library,"In the library, the user can select the type of the file to be saved.",BLOOM,184
He lifted the,He lifted the weight of the world on his shoulders.,OPT,113
He adopted the,He adopted the traditional European lifestyle and began an affair with a local girl of the village of Hainaut.,GPT-Neo,104
She presented the,"She presented the case to the jury, telling them that they were going to be asked to decide both ways.",GPT-Neo,257
With a yawn,"With a yawn, I made two short ribs of bacon with tomato sauce.",GPT-2,663
The flower bloomed,The flower bloomed.,GPT-Neo,430
The waves lapped,"The waves lapped the surface of the sea, and the sea was filled with
water.",BLOOM,604
With a frown,"With a frown on her face and almost tears in her eye, Anna let out a shaky whimper that caught Elsa cold.",GPT-2,635
She gazed at,"She gazed at her son in amazement, as if he feared that this might come to pass.",GPT-2,246
With a sigh,"With a sigh, she lay back, looking up at the dark ceiling, and thought of the man on the plane, and the woman in the field, both gone like the wind.",GPT-Neo,648
The garden flourished,The garden flourished with vegetables until a drought struck.,GPT-Neo,437
He remembered when,He remembered when he was a kid and he was playing with his friends and he was playing with a toy gun and he accidentally shot himself in the head.,OPT,126
The stars faded,The stars faded and the moon was gone.,BLOOM,564
The baby giggled,"The baby giggled and cooed, and the mother smiled.",Falcon-7B,316
In the office,"In the office, we have a lot of meetings.",Falcon-7B,194
In the lobby,"In the lobby of New York’s iconic Grand Central Terminal, a pair of young men in suits and ties greet the man who’s about to become the country’s next Secretary of Treasury.",GPT-Neo,186
She looked away,She looked away.,GPT-Neo,248
As they explored,As they explored the effects of the presence of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the,BLOOM,40
With a smile,"With a smile, a hug, and a kiss,
I'll be there to help you through the rough times.",Falcon-7B,649
"Quietly, she moved","Quietly, she moved her head back and forth, and
looked at the little girl.",BLOOM,227
The line flew,"The line flew out of the city's street corners and was picked up nearby with a roar from both groups, one of them screaming as the other punched the top of the parked parked carriage.",GPT-2,477
The snow fell,"The snow fell silently in a cold, dark afternoon, like a fine, thin powder.",GPT-Neo,556
"Carefully, he aimed","Carefully, he aimed his pistol at something that had only just turned off, but did nothing.",GPT-2,72
As they explored,"As they explored the area, they found a large number of fossils, including a complete skeleton of a ""dinosaur"" that was later identified as a ""dinosaur"" by a paleontologist.",Falcon-7B,40
"Slowly, he turned","Slowly, he turned his head to look at her.",OPT,292
As day ended,"As day ended, I was still in the same place.",BLOOM,7
The car stopped,"The car stopped at a checkpoint near the road, and when I asked her what she wanted I said there was enough water to drink.",GPT-2,355
The clay formed,The clay formed the first block of rocks where any natural gas had to be removed to release it.,GPT-2,369
In the cafe,"In the cafe, the staff are friendly and helpful.",Falcon-7B,154
The tree swayed,"The tree swayed violently, the leaves rustled.",GPT-Neo,592
With a flourish,"With a flourish of smoke and fire as she drew near, this remarkable woman made a striking spectacle.",GPT-Neo,634
With a flourish,"With a flourish of his hand in a pair of scissors and a sharpened knife, he cut a hole through the chest of the young mother and placed it in the center of his chest.",GPT-2,634
The firewall breached,"The firewall breached by the Chinese hackers was a ""critical"" part of the U.",Falcon-7B,425
In the attic,"In the attic of the historic building, nestled between the city’s oldest streets, on the edge of a historic district with a world-class dining scene, our guest of honor and founder of the brand, Jonathan Adler, discusses about",GPT-Neo,148
The jury listened,The jury listened to the testimony of a woman who said she was raped by a man who was a member of the U.,OPT,457
She performed the,"She performed the first part of the study in the Department of Clinical and Experimental Immunology, University of Groningen, the Netherlands.",BLOOM,254
The deal closed,"The deal closed in March, with the government saying it had promised to work with the European Financial Stability Facility (EFSF) to keep the bond markets stable until 2020.",GPT-2,394
In the garage,"In the garage, the 2019 Chevrolet Camaro SS is a 6.",Falcon-7B,176
As time passed,"As time passed, the state's laws did not extend to other industries, and the number of people whose business went into bankruptcy increased.",GPT-2,67
The rain ceased,The rain ceased from noon until 5:45 a.,GPT-2,528
The rain stopped,"The rain stopped, and as he made his way to the stairs the rain started coming in - no doubt from a storm.",GPT-2,534
As they performed,"As they performed their first show in the United States, the members of the South Korean boy band BTS were greeted by a sea of screaming fans.",Falcon-7B,49
The muscles relaxed,The muscles relaxed for three minutes of meditation.,GPT-Neo,493
The audience listened,"The audience listened in awe, their eyes filling the room with an awe-inspiring sense of wonder and wonder as they heard the show.",GPT-2,313
With a gasp,"With a gasp of surprise, she looked up at him, her face pale and drawn.",GPT-Neo,637
The leaves swirled,"The leaves swirled in wind and sunshine that, when the light filtered in, gave off blue-black light.",GPT-2,471
As they smiled,"As they smiled and laughed, the two men were arrested and charged with the murder of a man who was found dead in a car in the middle of the night in the city of Wuhan, China.",OPT,58
The fire dimmed,The fire dimmed in the room and his breath caught in his lungs.,GPT-Neo,420
The car started,The car started to go off the road and I was able to get out of the car.,BLOOM,354
"Quietly, she crept","Quietly, she crept up to the table and leaned over the open drawer, looking inside.",GPT-Neo,224
As they laughed,"As they laughed, they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at the fact that they were laughing at",BLOOM,45
He decided to,He decided to go to the doctor.,Falcon-7B,109
The muscles relaxed,The muscles relaxed and the blood rushed to the brain.,OPT,493
As they waited,"As they waited, they stood their ground.",GPT-2,64
The fire crackled,The fire crackled and sputtered and threatened to outpace her when her foot slipped in the snow.,GPT-Neo,418
The gavel fell,"The gavel fell on the floor, and the
sword fell on the table.",BLOOM,438
She opened the,She opened the door and stepped out into the hallway.,Falcon-7B,253
The garden flourished,The garden flourished this year.,Falcon-7B,437
The dog growled,The dog growled.,GPT-2,398
The instrument sang,"The instrument sang ""the spirit"" of a new generation of songwriters with powerful voices and a clear purpose — and it was directed exclusively and brilliantly at children.",GPT-2,456
The music pulsed,"The music pulsed through the room, and the sound of the piano was heard in the distance.",BLOOM,497
In the living,"In the living room, the fireplace is the focal point.",Falcon-7B,185
Yesterday I went,Yesterday I went to the gym and I was so tired I couldn't even do a single push up.,OPT,670
She waited for,She waited for you to get home and then she went to the bathroom?,OPT,277
The leaves fell,"The leaves fell, the snow came, and now the sun is shining.",Falcon-7B,468
In the basement,"In the basement of his home, he tried repeatedly to hide.",GPT-2,152
He threw the,He threw the ball to the ground and walked away.,Falcon-7B,136
She stirred the,She stirred the rice.,GPT-Neo,273
With a snip,"With a snip of the scissors, the 2013-14 school year came to an end for the 1,000-plus students of the St.",Falcon-7B,653
The moment passed,The moment passed.,OPT,488
In the garden,"In the garden: A look at the best of the best

The best of the best

The best of the best

The best of the best

The best of the best

The best of the best",OPT,177
He looked back,"He looked back at me and said, ""I'm sorry, I'm not a good kisser.",OPT,116
With a sprinkle,"With a sprinkle of salt, it tastes like a little butter.",GPT-2,655
In the distance,"In the distance, the sound of a train whistle.",Falcon-7B,169
"Slowly, she walked","Slowly, she walked out of the room.",GPT-Neo,300
The data secured,"The data secured by the NSA was of course encrypted on a single server, and thus, the government should be able to ""read"" it and decrypt it as well.",GPT-2,392
The butterfly fluttered,"The butterfly fluttered in the breeze, and the sun shone brightly on the water.",OPT,339
With a fizz,"With a fizzled voice, he said, “You’re not going to get away with it.",BLOOM,633
The curtain fell,"The curtain fell on the 2018/19 season at the weekend, with the final round of fixtures played out in front of a packed house at the Stade Municipal.",Falcon-7B,387
The fire sparked,The fire sparked by a lightning strike in the early hours of Sunday morning has been brought under control.,Falcon-7B,424
She reached for,She reached for the gun.,OPT,260
In the pizzeria,"In the pizzeria at the back:

""I had been asked for some extra work, but they gave me just enough to last through the week.",GPT-2,197
In the attic,"In the attic of a house in the middle of the night, I heard a noise.",OPT,148
The rain pattered,"The rain pattered back, the sun had taken a few minutes to make its way over the rocks, and a tiny little voice reached out to give his own name, Kiyoi.",GPT-2,532
The stars appeared,"The stars appeared so different, it was hard to put into words or describe.",GPT-2,563
The clock chimed,The clock chimed in at 6:45pm.,BLOOM,370
In the market,"In the market, they were already working on what it was like to be a farmer, to buy rice.",GPT-2,188
The waves crashed,"The waves crashed, making it hard to see where they was as the air continued to swell in.",GPT-2,603
"Carefully, she lifted","Carefully, she lifted the lid of the box.",Falcon-7B,84
The vendor called,The vendor called the company and asked for a quote.,BLOOM,594
He tossed the,He tossed the bill at him like a ball of fire.,GPT-2,138
The pencil scratched,"The pencil scratched, the eraser popped.",GPT-Neo,513
With a click,"With a click of the mouse, the window will open.",GPT-2,629
As they argued,"As they argued, the two men were standing in the middle of the road, blocking traffic.",Falcon-7B,24
The notes danced,"The notes danced around the room, and the music played on the radio.",OPT,502
With a splash,"With a splash of red, a splash of blue, and a splash of green, this is a pretty sweet deck.",OPT,654
With a frown,"With a frown, I looked at the clock.",Falcon-7B,635
The waterfall roared,The waterfall roared with the sound of the waterfall falling.,BLOOM,601
The moon glowed,The moon glowed in the direction the sun moved.,GPT-2,489
The code compiled,The code compiled and ran fine on my machine.,Falcon-7B,374
With a click,"With a clicker or a phone call, the government in Kenya can put you in prison for up to five years.",GPT-Neo,629
The kite danced,The kite danced in the wind.,OPT,460
The light bulb,The light bulb is a good one.,OPT,474
The alarm sounded,The alarm sounded at 6:30 a.,OPT,307
He harvested the,"He harvested the fruit of the tree and gave it to the man who had
been his servant.",BLOOM,112
"Slowly, he kneaded","Slowly, he kneaded his head and looked at the
wonderful, beautiful face of the girl.",BLOOM,287
"Quietly, she sang","Quietly, she sang a song that was a tribute to her mother, who died in a car accident in the early 1980s.",BLOOM,228
With a chisel,"With a chisel, cut a piece.",GPT-2,626
The evening unwound,"The evening unwound into a long, slow, and painful process.",OPT,413
As they chatted,"As they chatted, Broussard pointed out the fact that they wouldn't actually care about anything else besides his body because ""if he didn't stop drinking, he'd be going back to Russia.",GPT-2,29
As they baked,"As they baked, we found other ingredients added to the baked goods were added to the bread and butter and baked together in the oven.",GPT-2,25
The trophy gleamed,The trophy gleamed and sparkled with the brilliance of its metal.,GPT-Neo,593
She shaped the,She shaped the letter and signed it with an X.,GPT-Neo,266
The song peaked,The song peaked at #1 on the Billboard R&B Rock chart and had an estimated selling total of approximately 7 million units domestically.,GPT-2,560
The camera flashed,The camera flashed.,GPT-2,342
He turned around,He turned around and looked at the man who was holding the knife.,BLOOM,139
The child's laughter,The child's laughter rang out in the quiet of the night.,Falcon-7B,366
The fire crackled,The fire crackled and crackled.,OPT,418
He picked up,He picked up the phone and dialed the number.,Falcon-7B,120
The stars twinkled,"The stars twinkled as the lights of the castle lit up on the horizon, and the sun flashed by as the clouds parted in a blinding glint.",GPT-2,566
The bug fixed,"The bug fixed by the patch
-----
<?",GPT-Neo,338
The sauce simmered,The sauce simmered for about 10 minutes.,BLOOM,544
The leaves fell,"The leaves fell off the tree, and the
winter was gone.",BLOOM,468
He reached out,He reached out to the police and told them that he was a member of the police force and that he had been arrested for a crime.,BLOOM,124
The rain drizzled,"The rain drizzled down the road, and the wind was blowing in the opposite direction.",BLOOM,529
The bird nested,The bird nested in the tree.,OPT,327
The baby giggled,The baby giggled and giggled and giggled and giggled and giggled and giggled and giggled and giggled and giggled and giggled and giggled and giggled and,BLOOM,316
With a frown,"With a frown, the man said, “You’re not the only one who’s been in trouble.",BLOOM,635
She stirred the,She stirred the wine and the wine stirred the wine.,BLOOM,273
He looked down,He looked down at his feet and then back up at the camera.,OPT,117
The smoke cleared,"The smoke cleared, and the sun was shining.",BLOOM,552
The portrait emerged,"The portrait emerged online Thursday night, days after several anti-Trump protesters were shot and killed by police.",GPT-2,522
He looked down,"He looked down at the barrel of his pistol and said, ""Look, if I had to do that, I'd do it at once,"" and he pointed out where the barrel of his pistol had ended up, in the corner of her bathroom.",GPT-2,117
The chapter ended,The chapter ended with a discussion of the “new” (old) “normal” of the “new” (old) normal.,Falcon-7B,362
As they cooked,"As they cooked the steak, the water was so strong that it made it hard to get the temperature down before closing the lid, and it was hard to watch them open at the last minute.",GPT-2,31
As morning came,"As morning came and the sun was shining, and the birds were singing, and the flowers were blooming, and the trees were growing, and the grass was growing, and the earth was growing, and the sea was growing, and the mountains were",BLOOM,12
The moon rose,"The moon rose over the city of New York on the night of September 11, 2001.",OPT,490
In the bedroom,In the bedroom he is seen wearing black clothing wrapped around his neck.,GPT-2,153
The candle glowed,"The candle glowed in the sun, and the moon was
glowing in the sky.",BLOOM,348
The drawing completed,"The drawing completed in the first week of October, and the first of the two drawings in the second week of October.",BLOOM,408
The kite dipped,The kite dipped in the sky and then straightened up as it slowly moved northwards.,GPT-Neo,461
The smoke drifted,The smoke drifted over the water and the smell of the burning wood filled the air.,OPT,553
The leaves fell,"The leaves fell off the tree, and the
winter was gone.",BLOOM,468
As they sipped,"As they sipped their espresso, the mayor of San Marcos and his team of city council members discussed their first major development project, a major expansion at California State University, a two-year master plan to improve the aging campus.",GPT-Neo,57
In the distance,"In the distance, you can see the shadow of a man.",OPT,169
The aroma spread,"The aroma spread out from the kitchen, and the smell of the kitchen was still there.",BLOOM,308
The baby giggled,"The baby giggled and cooed, and the mother smiled.",Falcon-7B,316
The leaves rustled,The leaves rustled as the wind blew through the trees.,OPT,470
With a crescendo,"With a crescendo of the first few minutes, the game was set up for a great fight.",BLOOM,632
In the alley,"In the alley outside of the church, she said, was a huge, red, painted wooden cross.",GPT-Neo,147
The rooms echoed,The rooms echoed with the sound of the wind.,OPT,541
The weights clanked,"The weights clanked against each side of the frame like metal rings against stone, and the men in the ranks stared at their companions in a variety of expressions ranging from incredulity to fear to outright alarm.",GPT-Neo,605
The train arrived,The train arrived at about 7.,GPT-Neo,586
In the garage,In the garage the first thing I did was change the oil and replace my windshield wiper blades.,GPT-Neo,176
With a frown,"With a frown, I looked at the clock.",Falcon-7B,635
In the mansion,In the mansion house of the president of the United States.,GPT-Neo,187
The waves lapped,"The waves lapped the surface of the sea, and the sea was filled with
water.",BLOOM,604
She shaped the,"She shaped the world, and the world shaped her.",BLOOM,266
As day ended,"As day ended, they met outside the hospital's door with the first-floor view of Washington Monument.",GPT-2,7
With a gasp,With a gasp the man said.,GPT-Neo,637
The candle flickered,"The candle flickered with all his strength, and she saw, as a small, dark shadow of herself in the blackness, that she was glowing.",GPT-Neo,347
She performed the,She performed the test with her boyfriend last month.,GPT-2,254
As morning broke,"As morning broke, the storm had passed.",GPT-Neo,11
The peace descended,"The peace descended on him suddenly, as if the shock of it had lifted his spirits and restored his confidence.",GPT-Neo,511
The connection established,The connection established between the two is that they are both in the same universe.,OPT,377
The costume fit,"The costume fit is great, but the hair is a bit too much.",OPT,380
Sitting by the,"Sitting by the fire, the man was
sitting by the fire, and the fire was burning.",BLOOM,282
"Slowly, he descent","Slowly, he descent into the cold and dreary winter of his childhood and his long-standing hatred for his people, even more than his own.",GPT-2,286
"Slowly, he opened","Slowly, he opened the back door.",GPT-Neo,289
With a ping,"With a ping of around 100, I can't imagine how bad it would be with a ping of 200.",OPT,645
With a sneeze,"With a sneeze, a cough, or a fever, you may be tempted to stay home from work or school.",Falcon-7B,651
"Quietly, she crept","Quietly, she crept into the room, and sat down on the edge of the bed.",OPT,224
The horse galloped,"The horse galloped across the field, its hooves pounding the ground.",Falcon-7B,447
Slowly but surely,"Slowly but surely, the world is beginning to open up again.",Falcon-7B,283
The safe yielded,The safe yielded a few more items that day.,GPT-Neo,543
"Slowly, he descended","Slowly, he descended the steps and
went to the door.",BLOOM,285
The ocean roared,"The ocean roared, the sky was dark, and the wind was blowing.",Falcon-7B,503
The fire died,"The fire died down a bit, but the smoke is still there.",OPT,419
The wind gusted,The wind gusted.,GPT-2,609
The rain stopped,The rain stopped and the sun came out for a few hours.,Falcon-7B,534
He reached out,He reached out to Ms.,GPT-2,124
The program ran,"The program ran for three years, and was a huge success.",OPT,524
As they walked,"As they walked through the door, they saw a man standing in the doorway.",BLOOM,65
Walking down the,"Walking down the street, I saw a man with a sign that said, “I’m hungry, please help.",Falcon-7B,619
"Quietly, he entered","Quietly, he entered the room, and sat down at the table.",OPT,217
Under the bridge,"Under the bridge, I took a deep breath, took a deep breath in and kept on getting worse and worse.",GPT-2,617
He read the,"He read the letter, and then he read it again.",Falcon-7B,125
With a laugh,"With a laugh, the 6-foot-3, 220-pounder said, ""I'm not sure.",Falcon-7B,642
The wine breathed,"The wine breathed life into the garden, and the softness of the grass and the grass-cutters of the city gave it warmth.",GPT-Neo,612
As they tasted,"As they tasted each other's tongues, I realized this is a dream I really want to be in: it felt like I was in the midst of a wild and passionate love affair, like I was in a state of ecstasy.",GPT-Neo,61
The door creaked,The door creaked open and the door closed.,OPT,403
"Slowly, he poured","Slowly, he poured out his
sweetest words, and the tears fell on his face.",BLOOM,290
She danced to,She danced to the music of the band.,BLOOM,239
The night echoed,"The night echoed with the sound of the wind, and the sound of the wind was the sound of the wind.",OPT,500
In the kitchen,"In the kitchen, the kitchen is a place where you can cook and prepare meals.",BLOOM,181
She mixed the,She mixed the first batch.,GPT-Neo,252
The book shut,The book shut down to a torrent of criticism.,GPT-2,333
With a smile,"With a smile, she opened her own laptop, clicked on the link, and then the cursor jumped up to the second page of text.",GPT-Neo,649
The cat purred,The cat purred and the cat was very tired.,BLOOM,359
With a bullseye,"With a bullseye on his back, Trump's campaign is on the defensive
WASHINGTON (AP) — President Donald Trump's campaign is on the defensive after a series of setbacks in the final days of the 2020 election.",OPT,623
With great care,"With great care,

Let them bear it out

And all they do together

Are free from fear,

And free from the cold

And free from despair

With no more to fear

And no more",GPT-2,666
She stood up,She stood up and walked over to the door.,Falcon-7B,274
The dog wagged,The dog wagged his tail and looked at the man.,BLOOM,400
In the gallery,"In the gallery, there is a picture of a man with a beard.",OPT,175
As they shopped,"As they shopped for groceries, the two women were talking about the recent death of a friend.",Falcon-7B,56
As they observed,"As they observed the effect of the two drugs in the urine of the placebo group, we found some evidence that the interaction between medication and the effect of the two drugs was not strong, the latter being consistent with a change in the plasma levels of dopamine",GPT-2,48
The door creaked,"The door creaked open, and the man in the white suit stepped out.",BLOOM,403
As they waited,"As they waited for the sun to rise, hundreds of people milled on the streets of East London, waiting for their turn to march through the morning of the UK-wide climate strike.",GPT-Neo,64
In the courtroom,"In the courtroom, the judge is the one who decides whether or not the defendant is guilty.",OPT,164
With a flourish,"With a flourish of the hand, the man who had
been the chief of the band, and who had been the chief of the
band, was now in the midst of the crowd, and the crowd was
disgusted.",BLOOM,634
The bond formed,The bond formed between a mother and her child is one of the most beautiful things in the world.,Falcon-7B,331
In the bakery,In the bakery were 15 or 20 customers.,GPT-2,150
The bell echoed,"The bell echoed for a moment, and then faded.",GPT-2,322
The program ran,The program ran for three months in 2013 and found that women's fertility rates in the first few weeks of treatment went up in all but 11-inch women.,GPT-2,524
He walked away,"He walked away, still holding the sign.",GPT-2,142
With a bullseye,"With a bullseye on its back, the 2018 Ford Mustang is the most powerful Mustang ever.",Falcon-7B,623
As they watched,"As they watched the game, the two of them were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they",BLOOM,66
With a laugh,"With a laugh, I said, “Well, I don’t know.",BLOOM,642
"Gently, she touched","Gently, she touched my shoulder.",OPT,102
He remembered when,"He remembered when I first saw the story of the man-eating shark, that he could feel the fear, too—and the hatred for humanity that went with it.",GPT-Neo,126
The art emerged,"The art emerged in the early 1800's of applying the principles and techniques of thermodynamics to various engineering fields such as refrigerating, air conditioning, manufacturing, and energy production.",GPT-Neo,310
"Quietly, he hacked","Quietly, he hacked off a chunk of meat tenderized by the oven after cooking but before serving.",GPT-Neo,218
Turning the page,"Turning the page
//
// This function is called when the page is loaded.",BLOOM,616
As they played,"As they played the game, the two of them were in a very good mood.",BLOOM,50
The campfire glowed,"The campfire glowed in the night, and the flames danced in the darkness.",Falcon-7B,345
The sun peeked,The sun peeked through the window and the sun was shining.,BLOOM,572
"Gently, he touched","Gently, he touched her cheek.",Falcon-7B,92
With a chorus,"With a chorus of ""I'm not a racist"" from the crowd, the president of the United States was sworn in for his second term on Friday.",OPT,627
"Carefully, she mixed","Carefully, she mixed the ingredients, then poured the mixture into a small bowl.",Falcon-7B,85
As evening approached,"As evening approached, the fires grew warmer, like a great bank of coals on a fire pit, until by the time they were gone, the last of the daylight had been extinguished, too.",GPT-Neo,8
The clock ticked,The clock ticked with the first moments of every day.,GPT-Neo,372
The waves lapped,"The waves lapped the surface of the sea, and the sea was filled with
water.",BLOOM,604
He searched for,He searched for a way to get out of the room.,Falcon-7B,130
The skills improved,The skills improved throughout the season and will be available for the playoffs after the Islanders' run to the first round of the Stanley Cup Playoffs.,GPT-Neo,550
With a chisel,"With a chisel and a hammer, a sculptor can create a masterpiece.",Falcon-7B,626
She chanted the,She chanted the words and wrote her name.,GPT-2,235
The smoke cleared,The smoke cleared and the dust settled.,Falcon-7B,552
As day ended,"As day ended, I was still in the same place.",BLOOM,7
The bug fixed,The bug fixed itself for me.,OPT,338
The baby giggled,The baby giggled and smiled at me.,OPT,316
The shadows lengthened,"The shadows lengthened and the sun began to shine, dimming at the edge of the lake, but it still continued on in the distance.",GPT-2,549
The clock ticked,"The clock ticked, and the first thing I noticed was that the clock was ticking.",BLOOM,372
With a shrug,"With a shrug, a woman took my hand.",GPT-2,647
As they danced,"As they danced, the two of them were like a pair of lovers.",Falcon-7B,33
In the attic,"In the attic of the house where I grew up, there was a closet that was filled with old clothes.",Falcon-7B,148
"Gently, she placed","Gently, she placed her hand on his chest.",Falcon-7B,96
"Quietly, he moved","Quietly, he moved to the other side of the room.",OPT,220
As they talked,"As they talked, the sun rose higher in the sky, and the heat of the day began to build.",Falcon-7B,60
The train departed,The train departed from the station at 7.,BLOOM,587
