xi,xj,LLM_model
The tea steamed,"The tea steamed with the milk until soft and soft in its golden form, then dipped to the side. When the cream has taken its time to thicken, it may be mixed with some powdered sugar or sugar gel. As the milk thudd",GPT-2
The tea steamed,"The tea steamed in the microwave.
I'm not sure if you're joking or not, but that's actually a thing.
I'm not joking. I've seen it done.
I've seen it done, too. I",OPT
In the gallery,"In the gallery of images you can see that the water and the rocks of the shore are very dark. I know that it is easy to get them, because many times when I am in that bay, I feel the ground under my feet and I",GPT-Neo
In the gallery,"In the gallery below you'll find an overview of the game modes.

Turtle Dash has been developed on 3D, so it will allow you to walk around the game without touching your own body. This mode is also called a Trolley",GPT-2
In the gallery,"In the gallery, there is a picture of a man with a beard.  I'm not sure if it's the same guy, but it looks like him.
I think it's the same guy.",OPT
He admired the,"He admired the man’s integrity, but he was no match for his wife’s charm in the long run. After all, this man had a family.

His wife, however, was not an easy woman to admire,",GPT-Neo
He admired the,"He admired the power of the people he was talking to and I think it was because many people had never heard of him before and it was a moment after we had made our first tour or something.""

Wynne said his music always felt",GPT-2
He admired the,"He admired the way the sun shone on the water.
He was so happy to be alive.
He was so happy to be alive.
He was so happy to be alive.
He was so happy to be alive.
He",OPT
The brush stroked,"The brush stroked his cheek, then began to move back and forth across the
chest, over the chin, and under his thickly muscled arms.




CHAPTER XVII

""WITH THE HANDS OF THE LORD",GPT-Neo
The brush stroked,"The brush stroked softly against the hair before the light glided across their hair-nets. It wasn't quite like the other way around and there was plenty of time for them to work.

""This is a bit boring…"" Naruto muttered",GPT-2
The brush stroked,"The brush stroked the surface of the water, and the water was a mirror image of the brushstroked surface of the water.
I'm not sure if I'm missing something here, but I don't think that's how mirrors work",OPT
With a cough,"With a cough that might make your head swim, a pain in the chest that has you reaching for the inhaler and a sore throat that has you asking for aspirin, you're not alone.

Doctors report record numbers of patients with colds",GPT-Neo
With a cough,"With a cough, cough, cough… cough. I am very worried.""

Lanzi was the only one that was still unable to speak.

Because of the fear in Lanzi's voice, his body trembled, because of",GPT-2
With a cough,"With a cough like that, I'd be worried about the possibility of a stroke.
I'm not sure if I should be worried about that or not.",OPT
The dust settled,"The dust settled quickly after the events of the night of May 17 at a press conference staged by New York Governor Andrew Cuomo (D) and his administration. Despite his attempts to use the occasion to bolster his chances of winning a third term, Cuomo was",GPT-Neo
The dust settled,"The dust settled, and the new, more robust models were finally released. However, one thing has always intrigued me and I'm pleased to say it continues to surprise me.

Let me be clear: I DO NOT advocate putting out a cheap",GPT-2
The dust settled,"The dust settled on the first day of the Democratic National Convention, and the party’s presidential nominee, Hillary Clinton, was on the verge of becoming the first woman to be elected president.

But the night before, the party�",OPT
As they argued,"As they argued with each other, their eyes locked for a brief moment like two souls in a dark room, then they looked away.

""I see,"" said Mr. Hines. ""It was probably a bad choice.""

""",GPT-Neo
As they argued,"As they argued about what they thought of this new law, they got some very interesting replies. The first was one from a guy who had some sort of background to know ""Billionaires are coming in"" and he thought it was all a form",GPT-2
As they argued,"As they argued, the two men were in the middle of a heated argument when the woman pulled out a gun and shot the man in the chest.

The man was taken to the hospital in critical condition, but he is expected to survive",OPT
The door slammed,"The door slammed shut behind me and I turned to see the woman who had been in my apartment earlier that morning. I was still holding her hand, but I couldn't recall if she was crying, though she did seem rather distressed. Her eyes were",GPT-Neo
The door slammed,"The door slammed shut.

Nakoto was on the floor, his body slowly moving. He looked up at Nagisa staring up at him.

""Please not be so scared when I see you,"" he whispered. ""You really",GPT-2
The door slammed,"The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut behind him.

The door slammed shut",OPT
"Slowly, he breathed","Slowly, he breathed out a stream of light-shadows and then another. They swirled like the bubbles of a shaken soda bottle. The shadows coalesced into the semblance of a face, a wide, friendly, knowing face. When the",GPT-Neo
"Slowly, he breathed","Slowly, he breathed, ""Why don't you get my head on the ground with your eyes so that I can see something?""

""Yes,"" I said, shaking my head. ""Come,"" I said, walking up into him.",GPT-2
"Slowly, he breathed","Slowly, he breathed in and out, trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying to get the air out of his lungs.
He was trying",OPT
The candle burned,"The candle burned on through the night.

But it was still burning today.

The flames reached the outer wall of the palace and burned like a beacon to the people it was meant to protect.

And once there, the flames",GPT-Neo
The candle burned,"The candle burned for 3 days, it then burned for 4 days. If you have experienced burns, and then suddenly lose sight of it after 2 or 3 days with no apparent reason at all, you should not try out using this brand.",GPT-2
The candle burned,"The candle burned out.
I'm not sure if you're joking or not, but that's not how candles work.
I'm not joking.  I've seen this happen.  It's not a candle that burned out, it",OPT
In the lobby,"In the lobby of the Trump International Hotel New York, just down from Wall Street, the first time my family comes to this part of town is for Christmas. It is the last day any of us will spend here. On this last day I am",GPT-Neo
In the lobby,"In the lobby are the men who have come to support her.

""This is an incredibly strong message,"" she said.

""And I am a woman. I'm not asking for anything. As a woman, I am asking for",GPT-2
In the lobby,"In the lobby, there is a button that says ""Join Game"" or something like that.",OPT
She waited for,"She waited for three months for the results.

'I think they found it,' I told her.

'What did it feel like?'

'The heart was beating.'

'Did you see it?'

'",GPT-Neo
She waited for,"She waited for seven hours in a local fire station without food. It took her about 30 minutes to get to her apartment.

When she arrived there, I got a message. I'm in Brooklyn. I was born and raised in Brooklyn.""",GPT-2
She waited for,"She waited for you to get home and then she went to the bathroom?
I think she was just waiting for me to get home.",OPT
The elevator arrived,"The elevator arrived just as the door was closing behind her.

""You have a message, Mr. Bowers.""

""Thank you, Mrs. Bowers.""

She stepped into the elevator and pressed the button for the fourth",GPT-Neo
The elevator arrived,"The elevator arrived at 0500 and climbed slowly down to the entrance, and the car was stopped.

The woman's eyes were on the stairway, as if she didn't want to lose her balance or be tempted to go around. She",GPT-2
The elevator arrived,"The elevator arrived at the top floor of the building.
The elevator was a little late, but it was there.
The doors opened and the elevator started to move.
The elevator was a little slow, but it was there.",OPT
With a sneeze,"With a sneeze at the end of a conversation, they found themselves sitting on the couch in front of the TV, watching their TV show that was ending prematurely, leaving them with no show and no reason to do the show they thought they could",GPT-Neo
With a sneeze,"With a sneeze on him, we'll be back in time. And the best part? He's back.

The episode is called ""The Night Before The Battle,"" which comes out next Saturday nights on The CW.

Want",GPT-2
With a sneeze,"With a sneeze, you can make a fart sound.
I can't believe I never thought of that.",OPT
The pollen floated,"The pollen floated out, and the ladybug landed on the window. The ladybird opened its mandibles, spread its legs, and dropped down into the flower. It landed on the small, pale bud with the white fluff on it. The",GPT-Neo
The pollen floated,"The pollen floated on its back.

""You are welcome to speak with us,"" said Dr. Zouks, who's also a specialist in ecotoxin and molecular toxins at the Max Planck Institute at Bremen. ""But",GPT-2
The pollen floated,"The pollen floated up into the sky and landed on the grass.
The pollen was a little bit sticky, but it was not sticky enough to be a problem.
The pollen was a little bit sticky, but it was not sticky enough to",OPT
As spring bloomed,"As spring bloomed on the prairies, I read in the newspapers of the great
mining boom in South-East America, and the new fortunes being made in
Australia. It seemed to me that, in the interest of civilization and
science",GPT-Neo
As spring bloomed,"As spring bloomed into June and July 2011 is expected to be the first year of the new year season.

In June, the country experienced a record low in the number of suicides in China: more than half of those deaths involved alcohol,",GPT-2
As spring bloomed,"As spring bloomed, the first signs of spring fever were evident in the air. The sun was shining, the birds were chirping, and the flowers were blooming.

The first signs of spring fever were evident in the air",OPT
The bees buzzed,"The bees buzzed in the trees, they buzzed in their nests. No one would be more surprised to see the bees than was Pippa, but she was also prepared. The children who were present would wonder why she seemed so calm.",GPT-Neo
The bees buzzed,"The bees buzzed out as they looked on. Their faces looked red and red. Their legs began to wobble. ""What happened, did you see the man?""

The bees asked him.

""It's not right,"" he",GPT-2
The bees buzzed,"The bees buzzed around the hive, and the queen was busy making a new hive.

The bees buzzed around the hive, and the queen was busy making a new hive.

The bees buzzed around the hive, and",OPT
"Quietly, she hummed","Quietly, she hummed a tune from the songbook.

“We need to stop here,” he said.

Their journey had been quite long and winding, the road not exactly paved, but well-tro",GPT-Neo
"Quietly, she hummed","Quietly, she hummed through it before he could ask her for his name. ""Arioto. My lord."" She'd be lying if she said she hadn't had a chance to talk.

He blinked.

""",GPT-2
"Quietly, she hummed","Quietly, she hummed to herself.
She was in the middle of a conversation with her friend, who was also a girl.
She was talking about her day, and how she was feeling.
She was feeling good,",OPT
The radio played,The radio played in the hallway of the apartment. A man’s voice told me that he was in fact my cousin but he was in an auto accident and he was in a coma so he shouldn’t be talking to me but he,GPT-Neo
The radio played,The radio played an interview with Obama at the White House Wednesday. Obama told reporters that the president was pleased and in favor of raising the minimum wage. They both agreed he would raise the federal minimum wage over the next four years after voters rejected Hillary Clinton,GPT-2
The radio played,The radio played a song that was about a guy who was in love with a girl who was in love with a guy who was in love with a girl who was in love with a guy who was in love with a girl who was in love,OPT
In the gym,"In the gym you can find a number of different types of machines. Some are made to train the body, while others are designed to show off your body. There are also free weights and machines for both strength training and cardio.

There is",GPT-Neo
In the gym,"In the gym, I always remember the girl sitting at the edge of me to make sure everybody in the room knew that she was going to give me an opportunity. So when I saw girls coming in on the other end, I said 'they're",GPT-2
In the gym,"In the gym, I'm a little bit of a nerd. I like to read, I like to play video games, I like to watch movies, I like to play sports, I like to play music, I like to play video games",OPT
He lifted the,"He lifted the rifle barrel and pointed it at the crowd

He shouted, ""Bring them all in!""

The people stood with their hands clasped

And waited for him to shoot the first one to go

No one could",GPT-Neo
He lifted the,"He lifted the hand to his forehead, but did not show any change, because the head had never been exposed. Then, with the words, the blood had run through his brain. He gave up, and fell asleep. The next day, when",GPT-2
He lifted the,"He lifted the weight of the world on his shoulders.
He's the only one who can save us.
He's the only one who can save us.
He's the only one who can save us.
He's the only",OPT
The weights clanked,"The weights clanked against each side of the frame like metal rings against stone, and the men in the ranks stared at their companions in a variety of expressions ranging from incredulity to fear to outright alarm. From the looks on their faces, it",GPT-Neo
The weights clanked,"The weights clanked for the night, and the sound of the police beating on a makeshift street, but the last person standing was actually a man who had been charged with murder.

I wanted to call my friend, and this is my first",GPT-2
The weights clanked,"The weights clanked together and the door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The door slammed shut.

The",OPT
With a grunt,"With a grunt like a grizzly bear, he lifted him into a standing position. He lifted his leg and the man was able to hop down and stand. He was able to stand without crutches and hobble. He took a moment to",GPT-Neo
With a grunt,"With a grunt-style syntax, you see the two forms below.

For example to access a page from other tabs or pages in Firefox you'll need to edit the files inside the script.

You're also able to select a different",GPT-2
With a grunt,"With a grunt, I can get a full-size, fully functional, and fully functional-looking, computer to do almost anything I want.  With a grunt, I can't get a full-size, fully functional, and fully functional",OPT
The sweat dripped,"The sweat dripped from her forehead. It trickled down her cheeks, down her neck, down the line of her body, and pooled at her waist where it pooled like a hot, wet puddle. The heat from it was enough to make",GPT-Neo
The sweat dripped,"The sweat dripped from my forehead and I looked over to the sun in the mist. The water slowly rose and I saw that in the direction of the lake was a small, clear stream. I wondered if it was flowing through the sea, but",GPT-2
The sweat dripped,"The sweat dripped down my face and I was so hot.
I'm sure you were.",OPT
As they exercised,"As they exercised in the warm autumn sun, they knew the time was right to make this decision.

“We’ve really been blessed to have this place,” said Joe, 63, a retired engineer and volunteer who has",GPT-Neo
As they exercised,"As they exercised their power over their people, they brought a threat that was not just a threat to their people but also a threat to many more that came forward in the wake of the war.

As mentioned, President Roosevelt's response to the",GPT-2
As they exercised,"As they exercised their right to free speech, the protesters were met with a barrage of tear gas and rubber bullets.

The protesters were protesting against the government's decision to allow the construction of a new mosque in the area.

The",OPT
The music pulsed,"The music pulsed through the speakers as they stood outside of the police station. The same air that was coming through the open window tasted bitter and metallic.

""If you could look at the footage from the video that sent us over here…",GPT-Neo
The music pulsed,"The music pulsed like an exploding balloon — an explosion of power packed with a burst of life and energy. Its effect left many in the world feeling as if they had been exposed to an invisible, powerful cosmic force.

""The sound didn",GPT-2
The music pulsed,"The music pulsed through the air, and the crowd roared.

The crowd was at the end of its tether.

The crowd was at the end of its tether.

The crowd was at the end of its tether.",OPT
"Gently, she massaged","Gently, she massaged his thigh until he sighed and the tension disappeared. He didn't have to tell himself that. She loved doing that, and he knew that he did too. Still, she always had a way of turning it into a",GPT-Neo
"Gently, she massaged","Gently, she massaged her face so that it looked like a flower, which, on the other hand, was too heavy and too big for her. Her smile also looked a little bit strange.

""It seems that you are working",GPT-2
"Gently, she massaged","Gently, she massaged his balls.
I'm not sure if I should be laughing or crying.",OPT
The muscles relaxed,"The muscles relaxed for three minutes of meditation. The sound of a fan turning was an audible reminder of the need to remain still and quiet. I was to be ready to go in thirty minutes for the start of training.

As I got into",GPT-Neo
The muscles relaxed,"The muscles relaxed and relaxed, the muscles relaxing and relaxing. The muscles relaxed and relaxed and relaxed again. So in the second place, that's one of the things that happened. I've been having trouble keeping my muscles straight and keeping them relaxed so",GPT-2
The muscles relaxed,"The muscles relaxed and the blood rushed to the brain.
I'm not sure if that's a good thing or a bad thing.
It's a good thing.  It's a sign that you're not in pain.  It's",OPT
In the cafe,"In the cafe at the beginning of this chapter, I talked about how a lot of food people want is really expensive and that some of their money could be going into unhealthy habits or to unproductive work habits. I also talked about how it could be",GPT-Neo
In the cafe,"In the cafe they were all dressed in full armour, and the owner was wearing a long white leather jacket with a black belt.

He had three men in the audience, and two of them were wearing long black shirts with the words: '",GPT-2
In the cafe,"In the cafe, the girl who was sitting next to me was talking to her friend about how she was going to get a tattoo. I was like ""I don't think you should get a tattoo, you're too young."" She was like",OPT
She sipped the,"She sipped the chocolate slowly. ""I know. But it's no use. I'm afraid. I have to be afraid.""

""You know what's wrong and you still want to talk about it,"" Jules said. ""It",GPT-Neo
She sipped the,"She sipped the apple juice as he watched the two sit with their arms crossed.

Hannah's voice brought him down onto his desk. She wanted to ask about a particular man she saw earlier in the day, so he didn't hesitate",GPT-2
She sipped the,"She sipped the water and then drank the milk.
I think she was just trying to get the milk out of her mouth.",OPT
The coffee steamed,"The coffee steamed up perfectly for two minutes and fifteen seconds. Once everything cooled down, the surface was dry and ready. The steam had turned into a vapor, but it hadn't condensed. I pulled out the mold from the hot water, let",GPT-Neo
The coffee steamed,"The coffee steamed hot over the fire at an elevated point between the walls of the kitchen, while several of those inside the restaurant made an effort to resist any direct lighting during the blaze.",GPT-2
The coffee steamed,"The coffee steamed milk is the best part.
I'm not sure if I'm supposed to be impressed or disgusted.
I'm not sure if I'm supposed to be impressed or disgusted.
I'm not sure if I'm supposed",OPT
With a smile,"With a smile, she opened her own laptop, clicked on the link, and then the cursor jumped up to the second page of text.

""That's my answer.""

She'd just started the video. ""It is?""",GPT-Neo
With a smile,"With a smile on his face, he said ""My mother's family, you can find her and she'll be there next."" The boy was taken away for observation.",GPT-2
With a smile,"With a smile on his face, the man who has been in the spotlight for the past few months, has been spotted in the company of his wife and daughter.

The actor, who is currently shooting for his upcoming film, ‘",OPT
The conversation flowed,"The conversation flowed naturally this time, though when they left the station, he still felt as if he had talked to a ghost.

As he and Elsie rode through the crowded streets of Rome, she told him of the way the people of",GPT-Neo
The conversation flowed,The conversation flowed on with the latest twists as two members of the Trump White House team — campaign chairman Paul Manafort and director of legislative affairs Reince Priebus — told CNN's Joy Reid the White House is focused on Trump's plans for the economy. In,GPT-2
The conversation flowed,"The conversation flowed well, but I think you could have done a little more to make it more interesting.",OPT
As noon approached,"As noon approached on the 20th, the sun’s rays were still strong, the wind light, though the ocean was calm enough to hold the usual raft-rafting-rafting-rafts of small boats. The boats set off",GPT-Neo
As noon approached,"As noon approached and I was at a loss and tried to think about where this story was going to end in.


A reporter from New Times said to me, ""The news was coming out about your sister's death. It's as if",GPT-2
As noon approached,"As noon approached, the sun was setting over the mountains of the San Francisco Bay Area. The sky was a deep blue, and the air was warm. The temperature was in the mid-70s, and the air was clear.",OPT
The lunch crowd,"The lunch crowd at New York’s Union Square was quiet. They all looked at their phones, waiting for the service to begin, which would be around noon. Soon they could hear the clatter of keys, the hum of a laptop,",GPT-Neo
The lunch crowd,"The lunch crowd continued to celebrate, cheering and laughing.

Ginger-Winkle's is located in the former warehouse and a former warehouse in the neighborhood of West Palm Beach.

According to an article in ABC affiliate WBEZ,",GPT-2
The lunch crowd,"The lunch crowd is always the worst.
I'm not sure if you're being sarcastic or not, but I've never had a problem with the lunch crowd.
I'm not being sarcastic. I've never had a problem with the lunch",OPT
"Carefully, he sliced","Carefully, he sliced in the middle. It would be easier to leave it out. The cut was from the bottom of the neck up towards the shoulder blades, and it had sliced into something vital. A vein.

Hank felt the",GPT-Neo
"Carefully, he sliced","Carefully, he sliced up the old cowl from his hand, and said, ""Don't use any of this to scare. You'll be able to fix it."" Then he pointed down at the stone, and he grinned, ""Thank you",GPT-2
"Carefully, he sliced","Carefully, he sliced his finger open.
I think he's just a little bit drunk.",OPT
The bread crackled,"The bread crackled between my fingers and I realized why it sounded like the wind had picked that particular fork.

""So are you going to tell me what you know?"" I asked, setting down the bread.

""Not unless you",GPT-Neo
The bread crackled,"The bread crackled slightly, the cheese was so juicy, so smoky, so flavorful, and so good. That's all well and good, I guess, until you start saying something like ""What have you been eating for?"" For some strange",GPT-2
The bread crackled,"The bread crackled as it was being baked.
The bread was a little dry, but it was still good.
The bread was a little dry, but it was still good.
The bread was a little dry, but it was",OPT
In the market,"In the market, it’s not unusual to see a small number of large names dominating the shelves, despite them being a rare commodity. The good news is that the same thing is possible for small and independent brands, as many companies are starting",GPT-Neo
In the market,"In the market, they were already working on what it was like to be a farmer, to buy rice. The old guard would start to move into the field and would do the rounds in their workshops. They never complained that something wasn't working out",GPT-2
In the market,"In the market for a new car? Here's what to look for
The new year is a great time to shop for a new car.
The new year is a great time to shop for a new car.
THE NEW YEAR is",OPT
She bargained for,"She bargained for some time with the
king about the new order and they

were finally able to have the order

of the sword and the throne in their

hands, but when the king had become

fat, and",GPT-Neo
She bargained for,"She bargained for her home when she heard cries in the driveway. It was the quiet of spring in the winter, she remembers. And her father, who moved out at the time, had died of pancreatic cancer and had tried to start his",GPT-2
She bargained for,"She bargained for a better deal.
She bargained for a better deal.
She bargained for a better deal.
She bargained for a better deal.
She bargained for a better deal.
She bargained for",OPT
The vendor called,"The vendor called to inquire if they might be interested in getting to know the people behind the new group. The group had not previously been known to them. The group had a name of its own, but only the group leaders knew the name. """,GPT-Neo
The vendor called,"The vendor called for a full review report by the state Legislature. But, after reviewing the legislation, the State Board of Elections came up with just an interim rule that prohibits sales to anyone without their knowledge, even if their car was brand new. After",GPT-2
The vendor called,"The vendor called me and said they had a few left. I was so excited. I went to the store and they were sold out. I was so bummed. I was going to buy a few more.
I'm sorry to hear",OPT
With a nod,"With a nod to the American tradition, we’re putting the first ever “Gathering of the Juggalos” show on the calendar. As part of the festival, we’ll be hosting a three day party at the S",GPT-Neo
With a nod,"With a nod of acknowledgement from the White House on Nov. 1, Sanders added the following words on his Facebook page: ""For years, Bernie Sanders — and I am proud to serve as a leader for him — has made a clear political mistake.",GPT-2
With a nod,"With a nod to the past, the new ‘Star Wars’ trilogy is a return to the roots

The new “Star Wars” trilogy is a return to the roots.

The new “Star Wars�",OPT
The deal closed,"The deal closed last June 12. The main reasons for the contract were the following: It’s difficult to predict the demand for this kind of product’s raw material. For this kind of products’ high demand, we will provide",GPT-Neo
The deal closed,"The deal closed in March, with the government saying it had promised to work with the European Financial Stability Facility (EFSF) to keep the bond markets stable until 2020.

But in August, after a European Commission commission official said that if",GPT-2
The deal closed,"The deal closed on the day of the election, so it's not like they were trying to get it done before the election.
I'm not sure if you're being sarcastic or not, but I'm not sure if you're being sarcastic",OPT
As they shopped,"As they shopped at Zara in the Old Town in Belgrade, Jelena and her sister had noticed a familiar name stamped on the bottom of a shoe: Irena, a high-school friend Jelena had lost contact with",GPT-Neo
As they shopped,"As they shopped around, they found that there were few places where they could find such interesting local recipes and it was only through a few of them that I found another one. I didn't want to spend so much time and money on those things",GPT-2
As they shopped,"As they shopped for a new home, the family of a man who died in a fire at a home in the city's west end was told by the city's fire marshal that the fire was caused by a faulty electrical outlet.",OPT
The bags filled,"The bags filled with fruit, vegetables and dry dog food, all purchased at the same location.

But it wasn't until a year later that I would learn that the woman who supplied them was also the supplier of a drug that was a major",GPT-Neo
The bags filled,"The bags filled him as he watched them on the ground of the road.

They looked like he'd run from the woods to the beach.

The woman was trying to help.

""We saw you and everything.""",GPT-2
The bags filled,"The bags filled with the same thing are the same thing.
I think you mean the same thing.",OPT
"Slowly, he walked","Slowly, he walked down the aisle, making sure to pass the altar before he went into the box.

When he entered he saw the small shrine made of dark wood and gold and silver with flickering candles in glass holders. The room was",GPT-Neo
"Slowly, he walked","Slowly, he walked over to her. ""Hey, I'm here for him...""

""And what do you think?"" he asked, pointing at one of her eyes. And as his eyes turned pink, he let them pass over him",GPT-2
"Slowly, he walked","Slowly, he walked towards the door.
He was about to enter the room when he heard a loud noise.
He turned around and saw a man standing in the doorway.
He was wearing a black suit and a white shirt.",OPT
The path wound,"The path wound through the woods—she knew she would have to walk it now that she was out. She could see them. She began to hear the trees rustling. The sound was comforting, but she could not forget that they were still out",GPT-Neo
The path wound,"The path wound through some of the most dangerous and challenging parts of the U.S., including the U.S. military, the streets and the neighborhoods, but he still saw the danger in the fact that his home could not keep up. It",GPT-2
The path wound,"The path wound up being a lot longer than I expected.
I'm glad I'm not the only one who thought that.",OPT
In the forest,"In the forest canopy, leaf size, branch length, and the number of individual leaves were measured. The leaf area and its basal area (BA) were calculated from *A* = *πr*^2^*/4",GPT-Neo
In the forest,"In the forest of the South Pacific, in the center of the region, lies an island built on one of the most important volcanic remnants of the last billion years. It holds the most tantalizing evidence of any volcano there.

But where is",GPT-2
In the forest,"In the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in",OPT
She spotted the,"She spotted the girl and let herself relax. She hadn't seen her for a month, but she was still in training, so she must be a new recruit, new to the unit. The thought cheered her up a bit, and she went to",GPT-Neo
She spotted the,"She spotted the man and, for her part, the police car had turned onto Highway 7 where it sat waiting for her and she continued on her way down that long road as she came across the road sign to her right.

She called 911",GPT-2
She spotted the,"She spotted the opportunity to get a free meal and took it.
I think she was just trying to get a free meal.",OPT
The deer froze,"The deer froze and stared at him, making him nervous and unsure.

""I am not going to shoot you. Don't worry, deer. I am not going to kill you. We're going to go about this the right way.",GPT-Neo
The deer froze,"The deer froze in the middle of the bed but did not move.

The cat died in one of the trees. ""We were very surprised to find the cats on this hillside in the winter,"" Ms. Hensley said.",GPT-2
The deer froze,"The deer froze to death.
I think it was a bear.",OPT
With a gasp,"With a gasp the man said. You knew that was only a small part of the
question, if you had thought of that. Now you are a party to the crime,
and you know that I cannot blame you for your action, since",GPT-Neo
With a gasp,"With a gasp, his throat grew heavy with gasps and an exasperated sighing, he felt my voice.

""It's not fair you're taking my life. And if you aren't, why haven't you decided how to make",GPT-2
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT
The moment passed,"The moment passed over.

As we stood looking out at the river, I asked her if she would like to hear my story again.

""I thought you would.""

""I'm sorry I didn't finish the story.",GPT-Neo
The moment passed,"The moment passed, in silence, and now in the shadows,

the man's face.

At last the man looked to his left, facing the girl,

and said,

""Why I am so ashamed now,",GPT-2
The moment passed,"The moment passed.
I know, I just wanted to share it.",OPT
As day ended,"As day ended on a dreary, gray New York morning, the news media was busy celebrating yet another victory for the anti-globalist, anti-imperialist movement. Over the weekend, the United Nations General Assembly’s (",GPT-Neo
As day ended,"As day ended on Sept. 4 (the same day that AEGP members were allowed into Canada), AEGP members travelled 30 km to a meeting spot near the Canadian border.

AEGP leaders sat down and took a moment to",GPT-2
As day ended,"As day ended, the world was still in shock.

The United States had just been hit by a devastating terrorist attack, and the world was still reeling from the shock.

The world was still in shock.

The United",OPT
The shadows lengthened,"The shadows lengthened around them as the day was at its end. It was only
a week since they set out on their expedition, but he had felt a dozen
times that the end was not far distant. Now all seemed futile,",GPT-Neo
The shadows lengthened,"The shadows lengthened and the sun began to shine, dimming at the edge of the lake, but it still continued on in the distance.

It was a large man, a man in his late forties, black hair and a",GPT-2
The shadows lengthened,"The shadows lengthened, the shadows lengthened, the shadows lengthened, the shadows lengthened, the shadows lengthened, the shadows lengthened, the shadows lengthened, the shadows lengthened, the",OPT
"Quietly, he closed","Quietly, he closed her door; then he removed her shoes so he could slip off his socks without her ever knowing. With the two of them naked and sprawled on either side of her, he slowly removed her nightgown.",GPT-Neo
"Quietly, he closed","Quietly, he closed his eyes. ""Why do you even need me, Harry Potter, in the first place?"" he said, then slowly closed his eyes. ""I do not. I do not need you. I am not here for",GPT-2
"Quietly, he closed","Quietly, he closed his eyes and let out a deep breath.
He was about to open them again when he heard a loud crash.
He opened his eyes and saw a large, dark figure standing in front of him.",OPT
The book shut,"The book shut, and I stepped back to collect myself. There was a little crowd around me; they were saying good luck and wishing me good luck. I walked out of the hall, through the front of the hotel, and up through the big",GPT-Neo
The book shut,"The book shut down to a torrent of criticism.

A spokeswoman for the publisher told the Free Online Journal: ""Despite the fact that the book is not published by the publishers of The Walking Dead (i.e., in the U.S",GPT-2
The book shut,"The book shut down the entire internet.
I'm not sure if you're joking or not, but I'm pretty sure that's not true.
I'm not joking.  The book shut down the entire internet.
I'm not",OPT
In the study,"In the study, Dr. Lipsky and his colleagues showed that the combination of a dopamine-releasing peptide and a D2 receptor agonist delivered through a virus caused allosensitization or cross-reactivity, such as when",GPT-Neo
In the study,"In the study the children's first month of life were less likely to be diagnosed with an advanced form of epilepsy. In the second month, they were less likely to receive any form of pharmaceutical medication. Children attending their first month of life also were more",GPT-2
In the study,"In the study, researchers found that the more people were exposed to the idea that the Earth was flat, the more likely they were to believe that the Earth was flat.

The study, published in the journal Science, also found that the",OPT
He pondered the,"He pondered the idea of a more permanent, non-transplant, solution, but ultimately declined. There would be no more risks, no more chances for the transplant recipient to give up hope, and no more regrets. Still, the possibility existed",GPT-Neo
He pondered the,"He pondered the matter for a moment. Then she frowned. ""Well, isn't that your turn when there's more things to discuss?""

""…It wouldn't be my turn to speak,"" the woman replied, her voice low and measured",GPT-2
He pondered the,"He pondered the question for a long time, and then he said, ""I'm not sure.""
I'm not sure if I should upvote or downvote this.",OPT
The idea formed,The idea formed in the mind of a man – who will remain nameless because he is not yet old enough to be a man – who was playing with a pair of old tattered gloves one day. He imagined that they would be a good fit,GPT-Neo
The idea formed,"The idea formed at the time was the idea that there were only two worlds to rule the world, so we shouldn't have to think about what is and is not like the main story in order to gain a sense of a world. And as long",GPT-2
The idea formed,"The idea formed in the minds of two men who were both born in the same year, but who had different fathers.

The two men, who were both born in the same year, but who had different fathers, were both born in",OPT
With a snap,"With a snap of the fingers, the world’s nations and peoples turn into their opposites, or have a profound effect upon the way they are viewed by their neighbors. We live in an age where the actions of the US are of huge",GPT-Neo
With a snap,"With a snap of his wrist, he says ""no excuses.""

Bruno isn't sure exactly how long his son will be out there. He's talking to him through earbuds on his car while on the road, but he",GPT-2
With a snap,"With a snap of his fingers, the world's most powerful man can make a deal with the devil.

President Donald Trump has been accused of being a ""puppet"" of Russian President Vladimir Putin, and his administration has been accused of",OPT
The light bulb,"The light bulb went off in my head. Suddenly, when I thought about it, a dozen questions flooded my mind. What happens when you cross a bridge over a lake? You can either go north or south. Or you can go east or west",GPT-Neo
The light bulb,"The light bulb (black) is the second half of the bulb. The light is usually on all three sides, but during periods of darkness the light rises out of the wall to indicate the hours when the light is switched off.

When the",GPT-2
The light bulb,"The light bulb is a good one.
I was thinking the same thing.  I'm not sure if it's a good idea to have a light bulb in the middle of the room, but it's a good idea to have a light",OPT
As they brainstormed,"As they brainstormed what to have for breakfast, they decided to go to the hotel first. They sat by a window that overlooked the street. They used the room phone to call Mary. They asked her to look up the breakfast specials at the hotel",GPT-Neo
